id,venue
1,"Narendra Modi Stadium, Ahmedabad"
2,"Sawai Mansingh Stadium, Jaipur"
3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
4,"M.Chinnaswamy Stadium, Bengaluru"
5,"Arun Jaitley Stadium, Delhi"
6,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
7,"Eden Gardens, Kolkata"
8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
9,"MA Chidambaram Stadium, Chennai"
10,"Wankhede Stadium, Mumbai"
11,"Barsapara Cricket Stadium, Guwahati"
12,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
